"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/1999","0.43","0.44","0.44","0.42","313.66M","-2.27%"
"06/07/1999","0.44","0.43","0.44","0.42","418.29M","2.33%"
"06/04/1999","0.43","0.43","0.43","0.42","368.68M","2.38%"
"06/03/1999","0.42","0.42","0.43","0.42","488.51M","0.00%"
"06/02/1999","0.42","0.40","0.43","0.39","521.06M","5.00%"
"06/01/1999","0.40","0.40","0.40","0.40","461.03M","2.56%"
"05/28/1999","0.39","0.39","0.40","0.39","201.13M","0.00%"
"05/27/1999","0.39","0.39","0.39","0.38","336.76M","0.00%"
"05/26/1999","0.39","0.37","0.40","0.36","437.52M","5.41%"
"05/25/1999","0.37","0.37","0.38","0.37","366.51M","0.00%"
"05/24/1999","0.37","0.39","0.40","0.37","260.93M","-5.13%"
"05/21/1999","0.39","0.38","0.40","0.38","463.19M","2.63%"
"05/20/1999","0.38","0.41","0.41","0.38","417.72M","-5.00%"
"05/19/1999","0.40","0.41","0.41","0.39","298.28M","0.00%"
"05/18/1999","0.40","0.40","0.41","0.40","418.38M","0.00%"
"05/17/1999","0.40","0.39","0.40","0.38","210.76M","0.00%"
"05/14/1999","0.40","0.40","0.41","0.40","226.63M","-2.44%"
"05/13/1999","0.41","0.41","0.42","0.41","295.52M","-2.38%"
"05/12/1999","0.42","0.40","0.42","0.39","395.13M","5.00%"
"05/11/1999","0.40","0.40","0.41","0.39","458.60M","0.00%"
"05/10/1999","0.40","0.42","0.42","0.40","393.00M","-2.44%"
"05/07/1999","0.41","0.40","0.41","0.38","434.72M","2.50%"
"05/06/1999","0.40","0.42","0.42","0.39","433.15M","-4.76%"
"05/05/1999","0.42","0.41","0.42","0.40","579.30M","0.00%"
"05/04/1999","0.42","0.43","0.43","0.41","811.24M","-4.55%"
"05/03/1999","0.44","0.41","0.45","0.41","1.47B","7.32%"
"04/30/1999","0.41","0.39","0.42","0.39","1.47B","7.89%"
"04/29/1999","0.38","0.39","0.40","0.37","789.31M","-2.56%"
"04/28/1999","0.39","0.40","0.41","0.39","954.99M","-4.88%"
